@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
3331,'2017/03/22 18:36:14:480',3,1,0.892347,1
3332,'2017/03/22 18:36:14:480',3,1,0.88175,1
3333,'2017/03/22 18:36:14:534',3,1,0.88175,1
3334,'2017/03/22 18:36:14:535',3,1,0.891784,1
3335,'2017/03/22 18:36:14:681',3,1,0.891784,1
3336,'2017/03/22 18:36:14:681',3,1,0.90402,1
3337,'2017/03/22 18:36:14:783',3,1,0.90402,1
3338,'2017/03/22 18:36:14:783',3,1,0.916917,1
3339,'2017/03/22 18:36:14:897',3,1,0.916917,1
3340,'2017/03/22 18:36:14:898',3,1,0.929979,1
3341,'2017/03/22 18:36:14:966',3,1,0.929979,1
3342,'2017/03/22 18:36:14:967',3,1,0.943124,1
3343,'2017/03/22 18:36:15:089',3,1,0.943124,1
3344,'2017/03/22 18:36:15:089',3,1,0.956352,1
3345,'2017/03/22 18:36:15:198',3,1,0.956352,1
3346,'2017/03/22 18:36:15:198',3,1,0.969545,1
3347,'2017/03/22 18:36:15:266',3,0.989561,0.969545,1
3348,'2017/03/22 18:36:15:267',3,0.989561,0.982738,1
3349,'2017/03/22 18:36:15:329',3,0.978703,0.982738,1
3350,'2017/03/22 18:36:15:329',3,0.978703,0.995931,1
3351,'2017/03/22 18:36:15:481',3,0.967448,0.995931,1
3352,'2017/03/22 18:36:15:481',3,0.967448,1,1
3353,'2017/03/22 18:36:15:544',3,0.955648,1,1
3354,'2017/03/22 18:36:15:544',3,0.955648,1,1
3355,'2017/03/22 18:36:15:628',3,0.943546,1,1
3356,'2017/03/22 18:36:15:628',3,0.943546,1,1
3357,'2017/03/22 18:36:15:778',3,0.931164,1,1
3358,'2017/03/22 18:36:15:779',3,0.931164,1,1
3359,'2017/03/22 18:36:15:845',3,0.918471,1,1
3360,'2017/03/22 18:36:15:845',3,0.918471,1,1
3361,'2017/03/22 18:36:16:002',3,0.905414,1,1
3362,'2017/03/22 18:36:16:003',3,0.905414,1,1
3363,'2017/03/22 18:36:16:061',3,0.89189,1,1
3364,'2017/03/22 18:36:16:061',3,0.89189,1,1
3365,'2017/03/22 18:36:16:147',3,0.877821,1,1
3366,'2017/03/22 18:36:16:147',3,0.877821,1,1
3367,'2017/03/22 18:36:16:283',3,0.863206,1,1
3368,'2017/03/22 18:36:16:284',3,0.863206,1,1
3369,'2017/03/22 18:36:16:359',3,0.848046,1,1
3370,'2017/03/22 18:36:16:359',3,0.848046,1,1
3371,'2017/03/22 18:36:16:428',3,0.832421,1,1
3372,'2017/03/22 18:36:16:428',3,0.832421,1,1
3373,'2017/03/22 18:36:16:602',3,0.816534,1,1
3374,'2017/03/22 18:36:16:603',3,0.816534,1,1
3375,'2017/03/22 18:36:16:642',3,0.800594,1,1
3376,'2017/03/22 18:36:16:642',3,0.800594,0.989476,1
3377,'2017/03/22 18:36:16:745',3,0.784593,0.989476,1
3378,'2017/03/22 18:36:16:746',3,0.784593,0.978603,1
3379,'2017/03/22 18:36:16:881',3,0.76872,0.978603,1
3380,'2017/03/22 18:36:16:881',3,0.76872,0.967644,1
3381,'2017/03/22 18:36:16:942',3,0.752876,0.967644,1
3382,'2017/03/22 18:36:16:942',3,0.752876,0.956598,1
3383,'2017/03/22 18:36:17:092',3,0.737349,0.956598,1
3384,'2017/03/22 18:36:17:092',3,0.737349,0.945553,1
3385,'2017/03/22 18:36:17:181',3,0.722221,0.945553,1
3386,'2017/03/22 18:36:17:181',3,0.722221,0.934507,1
3387,'2017/03/22 18:36:17:240',3,0.707363,0.934507,1
3388,'2017/03/22 18:36:17:240',3,0.707363,0.923374,1
3389,'2017/03/22 18:36:17:385',3,0.692684,0.923374,1
3390,'2017/03/22 18:36:17:385',3,0.692684,0.912241,1
